signal_name,timestamp,id_can,priority,value,unit,min,max
ACT_TORQUE A13,1763563391.607,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A13,1763563391.607,0x18FF01F7,1,25.0,°C,-40,215
ACT_SPEED B13,1763563391.607,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE B13,1763563391.607,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B13,1763563391.607,0x18FF01F7,1,25.0,°C,-40,215
SYSTEMENABLE,1763563391.607,0x18FF1080,1,0,state,0,3
ACT_SPEED A0,1763563391.657,0x18FF01EA,1,0.0,rpm,-32000,33535
ACT_TORQUE A0,1763563391.657,0x18FF01EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A0,1763563391.657,0x18FF01EA,1,25.0,°C,-40,215
ACT_DCBUSPOWER A0,1763563391.657,0x18FF01EA,1,0.0,kW,-160,167.675
ACT_SPEED B0,1763563391.657,0x18FF02EA,1,0.0,rpm,-32000,33535
ACT_TORQUE B0,1763563391.657,0x18FF02EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B0,1763563391.657,0x18FF02EA,1,25.0,°C,-40,215
ACT_SPEED A13,1763563391.657,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE A13,1763563391.657,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A13,1763563391.657,0x18FF01F7,1,25.0,°C,-40,215
ACT_SPEED B13,1763563391.657,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE B13,1763563391.657,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B13,1763563391.657,0x18FF01F7,1,25.0,°C,-40,215
SYSTEMENABLE,1763563391.657,0x18FF1080,1,0,state,0,3
ACT_SPEED A0,1763563391.707,0x18FF01EA,1,0.0,rpm,-32000,33535
ACT_TORQUE A0,1763563391.707,0x18FF01EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A0,1763563391.707,0x18FF01EA,1,25.0,°C,-40,215
ACT_DCBUSPOWER A0,1763563391.707,0x18FF01EA,1,0.0,kW,-160,167.675
ACT_SPEED B0,1763563391.707,0x18FF02EA,1,0.0,rpm,-32000,33535
ACT_TORQUE B0,1763563391.707,0x18FF02EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B0,1763563391.707,0x18FF02EA,1,25.0,°C,-40,215
ACT_SPEED A13,1763563391.707,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE A13,1763563391.707,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A13,1763563391.707,0x18FF01F7,1,25.0,°C,-40,215
ACT_SPEED B13,1763563391.707,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE B13,1763563391.707,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B13,1763563391.707,0x18FF01F7,1,25.0,°C,-40,215
SYSTEMENABLE,1763563391.707,0x18FF1080,1,0,state,0,3
ACT_SPEED A0,1763563391.757,0x18FF01EA,1,0.0,rpm,-32000,33535
ACT_TORQUE A0,1763563391.757,0x18FF01EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A0,1763563391.757,0x18FF01EA,1,25.0,°C,-40,215
ACT_DCBUSPOWER A0,1763563391.757,0x18FF01EA,1,0.0,kW,-160,167.675
ACT_SPEED B0,1763563391.757,0x18FF02EA,1,0.0,rpm,-32000,33535
ACT_TORQUE B0,1763563391.757,0x18FF02EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B0,1763563391.757,0x18FF02EA,1,25.0,°C,-40,215
ACT_SPEED A13,1763563391.757,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE A13,1763563391.757,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A13,1763563391.757,0x18FF01F7,1,25.0,°C,-40,215
ACT_SPEED B13,1763563391.757,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE B13,1763563391.757,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B13,1763563391.757,0x18FF01F7,1,25.0,°C,-40,215
SYSTEMENABLE,1763563391.757,0x18FF1080,1,0,state,0,3
ACT_SPEED A0,1763563391.807,0x18FF01EA,1,0.0,rpm,-32000,33535
ACT_TORQUE A0,1763563391.807,0x18FF01EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A0,1763563391.807,0x18FF01EA,1,25.0,°C,-40,215
ACT_DCBUSPOWER A0,1763563391.807,0x18FF01EA,1,0.0,kW,-160,167.675
ACT_SPEED B0,1763563391.807,0x18FF02EA,1,0.0,rpm,-32000,33535
ACT_TORQUE B0,1763563391.807,0x18FF02EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B0,1763563391.807,0x18FF02EA,1,25.0,°C,-40,215
ACT_SPEED A13,1763563391.807,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE A13,1763563391.807,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A13,1763563391.807,0x18FF01F7,1,25.0,°C,-40,215
ACT_SPEED B13,1763563391.807,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE B13,1763563391.807,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B13,1763563391.807,0x18FF01F7,1,25.0,°C,-40,215
SYSTEMENABLE,1763563391.807,0x18FF1080,1,0,state,0,3
ACT_SPEED A0,1763563391.857,0x18FF01EA,1,0.0,rpm,-32000,33535
ACT_TORQUE A0,1763563391.857,0x18FF01EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A0,1763563391.857,0x18FF01EA,1,25.0,°C,-40,215
ACT_DCBUSPOWER A0,1763563391.857,0x18FF01EA,1,0.0,kW,-160,167.675
ACT_SPEED B0,1763563391.857,0x18FF02EA,1,0.0,rpm,-32000,33535
ACT_TORQUE B0,1763563391.857,0x18FF02EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B0,1763563391.857,0x18FF02EA,1,25.0,°C,-40,215
ACT_SPEED A13,1763563391.857,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE A13,1763563391.857,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A13,1763563391.857,0x18FF01F7,1,25.0,°C,-40,215
ACT_SPEED B13,1763563391.857,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE B13,1763563391.857,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B13,1763563391.857,0x18FF01F7,1,25.0,°C,-40,215
SYSTEMENABLE,1763563391.857,0x18FF1080,1,0,state,0,3
ACT_SPEED A0,1763563391.907,0x18FF01EA,1,0.0,rpm,-32000,33535
ACT_TORQUE A0,1763563391.907,0x18FF01EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A0,1763563391.907,0x18FF01EA,1,25.0,°C,-40,215
ACT_DCBUSPOWER A0,1763563391.907,0x18FF01EA,1,0.0,kW,-160,167.675
ACT_SPEED B0,1763563391.907,0x18FF02EA,1,0.0,rpm,-32000,33535
ACT_TORQUE B0,1763563391.907,0x18FF02EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B0,1763563391.907,0x18FF02EA,1,25.0,°C,-40,215
ACT_SPEED A13,1763563391.907,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE A13,1763563391.907,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A13,1763563391.907,0x18FF01F7,1,25.0,°C,-40,215
ACT_SPEED B13,1763563391.907,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE B13,1763563391.907,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B13,1763563391.907,0x18FF01F7,1,25.0,°C,-40,215
SYSTEMENABLE,1763563391.907,0x18FF1080,1,0,state,0,3
ACT_SPEED A0,1763563391.957,0x18FF01EA,1,0.0,rpm,-32000,33535
ACT_TORQUE A0,1763563391.957,0x18FF01EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A0,1763563391.957,0x18FF01EA,1,25.0,°C,-40,215
ACT_DCBUSPOWER A0,1763563391.957,0x18FF01EA,1,0.0,kW,-160,167.675
ACT_SPEED B0,1763563391.957,0x18FF02EA,1,0.0,rpm,-32000,33535
ACT_TORQUE B0,1763563391.957,0x18FF02EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B0,1763563391.957,0x18FF02EA,1,25.0,°C,-40,215
ACT_SPEED A13,1763563391.957,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE A13,1763563391.957,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A13,1763563391.957,0x18FF01F7,1,25.0,°C,-40,215
ACT_SPEED B13,1763563391.957,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE B13,1763563391.957,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B13,1763563391.957,0x18FF01F7,1,25.0,°C,-40,215
SYSTEMENABLE,1763563391.957,0x18FF1080,1,0,state,0,3
ACT_SPEED A0,1763563392.007,0x18FF01EA,1,0.0,rpm,-32000,33535
ACT_TORQUE A0,1763563392.007,0x18FF01EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A0,1763563392.007,0x18FF01EA,1,25.0,°C,-40,215
ACT_DCBUSPOWER A0,1763563392.007,0x18FF01EA,1,0.0,kW,-160,167.675
ACT_SPEED B0,1763563392.007,0x18FF02EA,1,0.0,rpm,-32000,33535
ACT_TORQUE B0,1763563392.007,0x18FF02EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B0,1763563392.007,0x18FF02EA,1,25.0,°C,-40,215
ACT_SPEED A13,1763563392.007,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE A13,1763563392.007,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A13,1763563392.007,0x18FF01F7,1,25.0,°C,-40,215
ACT_SPEED B13,1763563392.007,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE B13,1763563392.007,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B13,1763563392.007,0x18FF01F7,1,25.0,°C,-40,215
SYSTEMENABLE,1763563392.007,0x18FF1080,1,0,state,0,3
ACT_SPEED A0,1763563392.057,0x18FF01EA,1,0.0,rpm,-32000,33535
ACT_TORQUE A0,1763563392.057,0x18FF01EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A0,1763563392.057,0x18FF01EA,1,25.0,°C,-40,215
ACT_DCBUSPOWER A0,1763563392.057,0x18FF01EA,1,0.0,kW,-160,167.675
ACT_SPEED B0,1763563392.057,0x18FF02EA,1,0.0,rpm,-32000,33535
ACT_TORQUE B0,1763563392.057,0x18FF02EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B0,1763563392.057,0x18FF02EA,1,25.0,°C,-40,215
ACT_SPEED A13,1763563392.057,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE A13,1763563392.057,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A13,1763563392.057,0x18FF01F7,1,25.0,°C,-40,215
ACT_SPEED B13,1763563392.057,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE B13,1763563392.057,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B13,1763563392.057,0x18FF01F7,1,25.0,°C,-40,215
SYSTEMENABLE,1763563392.057,0x18FF1080,1,0,state,0,3
ACT_SPEED A0,1763563392.107,0x18FF01EA,1,0.0,rpm,-32000,33535
ACT_TORQUE A0,1763563392.107,0x18FF01EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A0,1763563392.107,0x18FF01EA,1,25.0,°C,-40,215
ACT_DCBUSPOWER A0,1763563392.107,0x18FF01EA,1,0.0,kW,-160,167.675
ACT_SPEED B0,1763563392.107,0x18FF02EA,1,0.0,rpm,-32000,33535
ACT_TORQUE B0,1763563392.107,0x18FF02EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B0,1763563392.107,0x18FF02EA,1,25.0,°C,-40,215
ACT_SPEED A13,1763563392.107,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE A13,1763563392.107,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A13,1763563392.107,0x18FF01F7,1,25.0,°C,-40,215
ACT_SPEED B13,1763563392.107,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE B13,1763563392.107,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B13,1763563392.107,0x18FF01F7,1,25.0,°C,-40,215
SYSTEMENABLE,1763563392.107,0x18FF1080,1,0,state,0,3
ACT_SPEED A0,1763563392.157,0x18FF01EA,1,0.0,rpm,-32000,33535
ACT_TORQUE A0,1763563392.157,0x18FF01EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A0,1763563392.157,0x18FF01EA,1,25.0,°C,-40,215
ACT_DCBUSPOWER A0,1763563392.157,0x18FF01EA,1,0.0,kW,-160,167.675
ACT_SPEED B0,1763563392.157,0x18FF02EA,1,0.0,rpm,-32000,33535
ACT_TORQUE B0,1763563392.157,0x18FF02EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B0,1763563392.157,0x18FF02EA,1,25.0,°C,-40,215
ACT_SPEED A13,1763563392.157,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE A13,1763563392.157,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A13,1763563392.157,0x18FF01F7,1,25.0,°C,-40,215
ACT_SPEED B13,1763563392.157,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE B13,1763563392.157,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B13,1763563392.157,0x18FF01F7,1,25.0,°C,-40,215
SYSTEMENABLE,1763563392.157,0x18FF1080,1,0,state,0,3
ACT_SPEED A0,1763563392.207,0x18FF01EA,1,0.0,rpm,-32000,33535
ACT_TORQUE A0,1763563392.207,0x18FF01EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A0,1763563392.207,0x18FF01EA,1,25.0,°C,-40,215
ACT_DCBUSPOWER A0,1763563392.207,0x18FF01EA,1,0.0,kW,-160,167.675
ACT_SPEED B0,1763563392.207,0x18FF02EA,1,0.0,rpm,-32000,33535
ACT_TORQUE B0,1763563392.207,0x18FF02EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B0,1763563392.207,0x18FF02EA,1,25.0,°C,-40,215
ACT_SPEED A13,1763563392.207,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE A13,1763563392.207,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A13,1763563392.207,0x18FF01F7,1,25.0,°C,-40,215
ACT_SPEED B13,1763563392.207,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE B13,1763563392.207,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B13,1763563392.207,0x18FF01F7,1,25.0,°C,-40,215
SYSTEMENABLE,1763563392.207,0x18FF1080,1,0,state,0,3
ACT_SPEED A0,1763563392.257,0x18FF01EA,1,0.0,rpm,-32000,33535
ACT_TORQUE A0,1763563392.257,0x18FF01EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A0,1763563392.257,0x18FF01EA,1,25.0,°C,-40,215
ACT_DCBUSPOWER A0,1763563392.257,0x18FF01EA,1,0.0,kW,-160,167.675
ACT_SPEED B0,1763563392.257,0x18FF02EA,1,0.0,rpm,-32000,33535
ACT_TORQUE B0,1763563392.257,0x18FF02EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B0,1763563392.257,0x18FF02EA,1,25.0,°C,-40,215
ACT_SPEED A13,1763563392.257,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE A13,1763563392.257,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A13,1763563392.257,0x18FF01F7,1,25.0,°C,-40,215
ACT_SPEED B13,1763563392.257,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE B13,1763563392.257,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B13,1763563392.257,0x18FF01F7,1,25.0,°C,-40,215
SYSTEMENABLE,1763563392.257,0x18FF1080,1,0,state,0,3
ACT_SPEED A0,1763563392.307,0x18FF01EA,1,0.0,rpm,-32000,33535
ACT_TORQUE A0,1763563392.307,0x18FF01EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A0,1763563392.307,0x18FF01EA,1,25.0,°C,-40,215
ACT_DCBUSPOWER A0,1763563392.307,0x18FF01EA,1,0.0,kW,-160,167.675
ACT_SPEED B0,1763563392.307,0x18FF02EA,1,0.0,rpm,-32000,33535
ACT_TORQUE B0,1763563392.307,0x18FF02EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B0,1763563392.307,0x18FF02EA,1,25.0,°C,-40,215
ACT_SPEED A13,1763563392.307,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE A13,1763563392.307,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A13,1763563392.307,0x18FF01F7,1,25.0,°C,-40,215
ACT_SPEED B13,1763563392.307,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE B13,1763563392.307,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B13,1763563392.307,0x18FF01F7,1,25.0,°C,-40,215
SYSTEMENABLE,1763563392.307,0x18FF1080,1,0,state,0,3
ACT_SPEED A0,1763563392.357,0x18FF01EA,1,0.0,rpm,-32000,33535
ACT_TORQUE A0,1763563392.357,0x18FF01EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A0,1763563392.357,0x18FF01EA,1,25.0,°C,-40,215
ACT_DCBUSPOWER A0,1763563392.357,0x18FF01EA,1,0.0,kW,-160,167.675
ACT_SPEED B0,1763563392.357,0x18FF02EA,1,0.0,rpm,-32000,33535
ACT_TORQUE B0,1763563392.357,0x18FF02EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B0,1763563392.357,0x18FF02EA,1,25.0,°C,-40,215
ACT_SPEED A13,1763563392.357,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE A13,1763563392.357,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A13,1763563392.357,0x18FF01F7,1,25.0,°C,-40,215
ACT_SPEED B13,1763563392.357,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE B13,1763563392.357,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B13,1763563392.357,0x18FF01F7,1,25.0,°C,-40,215
SYSTEMENABLE,1763563392.357,0x18FF1080,1,0,state,0,3
ACT_SPEED A0,1763563392.407,0x18FF01EA,1,0.0,rpm,-32000,33535
ACT_TORQUE A0,1763563392.407,0x18FF01EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A0,1763563392.407,0x18FF01EA,1,25.0,°C,-40,215
ACT_DCBUSPOWER A0,1763563392.407,0x18FF01EA,1,0.0,kW,-160,167.675
ACT_SPEED B0,1763563392.407,0x18FF02EA,1,0.0,rpm,-32000,33535
ACT_TORQUE B0,1763563392.407,0x18FF02EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B0,1763563392.407,0x18FF02EA,1,25.0,°C,-40,215
ACT_SPEED A13,1763563392.407,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE A13,1763563392.407,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A13,1763563392.407,0x18FF01F7,1,25.0,°C,-40,215
ACT_SPEED B13,1763563392.407,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE B13,1763563392.407,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B13,1763563392.407,0x18FF01F7,1,25.0,°C,-40,215
SYSTEMENABLE,1763563392.407,0x18FF1080,1,0,state,0,3
ACT_SPEED A0,1763563392.457,0x18FF01EA,1,0.0,rpm,-32000,33535
ACT_TORQUE A0,1763563392.457,0x18FF01EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A0,1763563392.457,0x18FF01EA,1,25.0,°C,-40,215
ACT_DCBUSPOWER A0,1763563392.457,0x18FF01EA,1,0.0,kW,-160,167.675
ACT_SPEED B0,1763563392.457,0x18FF02EA,1,0.0,rpm,-32000,33535
ACT_TORQUE B0,1763563392.457,0x18FF02EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B0,1763563392.457,0x18FF02EA,1,25.0,°C,-40,215
ACT_SPEED A13,1763563392.457,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE A13,1763563392.457,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A13,1763563392.457,0x18FF01F7,1,25.0,°C,-40,215
ACT_SPEED B13,1763563392.457,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE B13,1763563392.457,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B13,1763563392.457,0x18FF01F7,1,25.0,°C,-40,215
SYSTEMENABLE,1763563392.457,0x18FF1080,1,0,state,0,3
ACT_SPEED A0,1763563392.507,0x18FF01EA,1,0.0,rpm,-32000,33535
ACT_TORQUE A0,1763563392.507,0x18FF01EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A0,1763563392.507,0x18FF01EA,1,25.0,°C,-40,215
ACT_DCBUSPOWER A0,1763563392.507,0x18FF01EA,1,0.0,kW,-160,167.675
ACT_SPEED B0,1763563392.507,0x18FF02EA,1,0.0,rpm,-32000,33535
ACT_TORQUE B0,1763563392.507,0x18FF02EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B0,1763563392.507,0x18FF02EA,1,25.0,°C,-40,215
ACT_SPEED A13,1763563392.507,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE A13,1763563392.507,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A13,1763563392.507,0x18FF01F7,1,25.0,°C,-40,215
ACT_SPEED B13,1763563392.507,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE B13,1763563392.507,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B13,1763563392.507,0x18FF01F7,1,25.0,°C,-40,215
SYSTEMENABLE,1763563392.507,0x18FF1080,1,0,state,0,3
ACT_SPEED A0,1763563392.557,0x18FF01EA,1,0.0,rpm,-32000,33535
ACT_TORQUE A0,1763563392.557,0x18FF01EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A0,1763563392.557,0x18FF01EA,1,25.0,°C,-40,215
ACT_DCBUSPOWER A0,1763563392.557,0x18FF01EA,1,0.0,kW,-160,167.675
ACT_SPEED B0,1763563392.557,0x18FF02EA,1,0.0,rpm,-32000,33535
ACT_TORQUE B0,1763563392.557,0x18FF02EA,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE B0,1763563392.557,0x18FF02EA,1,25.0,°C,-40,215
ACT_SPEED A13,1763563392.557,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE A13,1763563392.557,0x18FF01F7,1,0.0,Nm,-6400,6707
ACT_DEVICETEMPERATURE A13,1763563392.557,0x18FF01F7,1,25.0,°C,-40,215
ACT_SPEED B13,1763563392.557,0x18FF01F7,1,0.0,rpm,-32000,33535
ACT_TORQUE B13,1763563392.557,0x18FF01F7,1,0.0,Nm,-6400,6707
